iter	Logloss
0	0.3223039541
1	0.1529510073
2	0.08229927973
3	0.03653862197
4	0.0176265685
5	0.00919841075
6	0.005164469874
7	0.003119427257
8	0.001974148733
9	0.001301941509
10	0.0008679463061
11	0.000615317464
12	0.000445728602
13	0.000339061879
14	0.0002655300009
15	0.0002631237741
16	0.0002631183539
17	0.0002104741393
18	0.0001608343029
19	0.0001608327909
20	0.0001369986593
21	0.0001170234128
22	0.0001170218205
23	0.0001170218205
24	0.0001170211714
25	0.0001170211714
26	0.000117020659
27	0.0001170199307
28	0.0001170190234
29	0.0001170190234
30	0.0001170183657
31	0.0001170177257
32	0.0001017055806
33	8.403211913e-05
34	7.208559601e-05
35	7.208498805e-05
36	7.208447292e-05
37	7.208308582e-05
38	7.208267444e-05
39	7.208267444e-05
40	7.208187511e-05
41	7.208149603e-05
42	6.623429756e-05
43	6.096531018e-05
44	5.666994129e-05
45	5.666975992e-05
46	5.264178093e-05
47	5.264139363e-05
48	4.761501338e-05
49	4.761488067e-05
50	4.761471168e-05
51	4.761430526e-05
52	4.527302009e-05
53	4.527302009e-05
54	4.527302009e-05
55	4.357482748e-05
56	4.357475918e-05
57	4.357458351e-05
58	4.357384992e-05
59	4.35732654e-05
60	4.257442572e-05
61	4.257308594e-05
62	4.257286172e-05
63	4.114115739e-05
64	4.114084309e-05
65	3.987079194e-05
66	3.987057558e-05
67	3.900837572e-05
68	3.900776637e-05
69	3.806384335e-05
70	3.80633922e-05
71	3.722014285e-05
72	3.721985821e-05
73	3.451785032e-05
74	3.451686462e-05
75	3.451686462e-05
76	3.451647374e-05
77	3.451631388e-05
78	3.243121562e-05
79	3.24302595e-05
80	3.243000688e-05
81	3.242992483e-05
82	3.242819176e-05
83	3.242709274e-05
84	3.242676071e-05
85	3.242609705e-05
86	3.242609705e-05
87	3.242593903e-05
88	3.242563881e-05
89	3.242539502e-05
90	3.242324849e-05
91	3.242324849e-05
92	3.242254109e-05
93	3.24223847e-05
94	3.076371515e-05
95	3.076367878e-05
96	3.076350588e-05
97	2.924027713e-05
98	2.924027713e-05
99	2.924022538e-05
