iter	Passed	Remaining
0	261	25868
1	362	17767
2	596	19279
3	690	16583
4	882	16771
5	1033	16194
6	1184	15738
7	1351	15545
8	1462	14783
9	1576	14185
10	1744	14111
11	1831	13429
12	1927	12900
13	2025	12442
14	2119	12010
15	2209	11599
16	2299	11225
17	2385	10869
18	2476	10556
19	2548	10193
20	2636	9917
21	2726	9668
22	2828	9470
23	2916	9236
24	3031	9094
25	3113	8861
26	3207	8673
27	3296	8476
28	3374	8262
29	3459	8072
30	3542	7883
31	3625	7704
32	3712	7536
33	3807	7391
34	3895	7235
35	3976	7069
36	4060	6913
37	4137	6751
38	4227	6612
39	4313	6470
40	4403	6337
41	4486	6195
42	4572	6061
43	4677	5953
44	4771	5831
45	4861	5707
46	4964	5598
47	5046	5466
48	5131	5340
49	5243	5243
50	5333	5124
51	5427	5009
52	5512	4888
53	5589	4761
54	5680	4647
55	5764	4529
56	5849	4413
57	5937	4299
58	6024	4186
59	6102	4068
60	6189	3957
61	6276	3847
62	6362	3736
63	6434	3619
64	6523	3512
65	6601	3400
66	6685	3292
67	6774	3188
68	6855	3079
69	6948	2978
70	7032	2872
71	7115	2767
72	7200	2663
73	7298	2564
74	7516	2505
75	7611	2403
76	7692	2297
77	7782	2194
78	7867	2091
79	7950	1987
80	8032	1884
81	8121	1782
82	8203	1680
83	8288	1578
84	8374	1477
85	8463	1377
86	8556	1278
87	8635	1177
88	8719	1077
89	8800	977
90	8897	879
91	8983	781
92	9063	682
93	9155	584
94	9239	486
95	9319	388
96	9401	290
97	9485	193
98	9569	96
99	9651	0
