iter	RMSE
0	2214.533173
1	2135.260608
2	2065.330316
3	2005.334887
4	1953.703019
5	1909.28289
6	1870.860256
7	1838.726626
8	1810.447047
9	1786.212304
10	1766.500507
11	1748.022032
12	1731.53956
13	1718.389163
14	1706.138364
15	1696.430947
16	1688.66492
17	1681.008616
18	1673.710646
19	1665.081531
20	1659.501147
21	1654.222008
22	1649.632845
23	1645.140031
24	1640.808498
25	1637.368062
26	1631.506025
27	1627.763787
28	1625.19048
29	1620.102477
30	1615.309125
31	1612.104474
32	1608.780403
33	1604.530738
34	1602.201242
35	1599.450449
36	1596.488969
37	1594.119382
38	1590.653009
39	1588.800267
40	1585.074583
41	1582.295854
42	1577.870834
43	1573.670688
44	1570.909477
45	1567.364012
46	1564.189811
47	1559.219385
48	1555.299159
49	1553.298181
50	1549.508641
51	1545.418828
52	1543.631827
53	1540.023152
54	1535.608177
55	1533.139571
56	1531.316709
57	1528.235954
58	1527.672331
59	1524.170834
60	1520.395737
61	1518.456128
62	1514.917134
63	1510.490907
64	1507.949567
65	1505.265335
66	1502.844307
67	1499.635178
68	1496.980864
69	1494.698231
70	1491.846043
71	1489.895018
72	1487.581458
73	1485.443562
74	1483.147953
75	1480.896531
76	1479.093264
77	1476.955471
78	1475.111781
79	1471.767605
80	1468.752637
81	1466.058281
82	1464.891941
83	1462.387003
84	1459.799701
85	1457.317541
86	1456.029639
87	1453.993605
88	1451.288389
89	1449.135001
90	1447.283099
91	1443.363871
92	1441.384661
93	1439.735666
94	1438.216086
95	1434.48702
96	1432.123677
97	1431.542782
98	1429.145215
99	1425.812594
100	1424.233777
101	1421.888786
102	1418.938057
103	1416.915494
104	1415.578464
105	1414.061217
106	1413.267319
107	1410.633293
108	1408.152309
109	1404.978261
110	1403.469544
111	1401.139798
112	1399.329815
113	1398.311444
114	1396.53447
115	1395.724002
116	1393.338334
117	1390.192214
118	1386.858894
119	1384.203716
120	1381.900874
121	1380.117435
122	1378.364664
123	1377.706295
124	1375.412956
125	1374.107963
126	1372.398468
127	1371.069587
128	1368.231054
129	1367.992302
130	1364.197184
131	1361.745401
132	1359.212314
133	1357.779059
134	1356.412788
135	1353.52193
136	1351.977618
137	1349.814335
