iter	Passed	Remaining
0	95	95467
1	126	62954
2	152	50676
3	174	43437
4	198	39528
5	219	36386
6	238	33784
7	256	31835
8	280	30924
9	302	29969
10	322	28968
11	345	28430
12	371	28241
13	408	28802
14	429	28185
15	449	27641
16	467	27047
17	489	26699
18	513	26506
19	536	26284
20	555	25884
21	575	25577
22	601	25568
23	629	25598
24	652	25460
25	677	25374
26	704	25378
27	724	25160
28	745	24966
29	773	25013
30	794	24830
31	817	24728
32	839	24614
33	859	24431
34	886	24439
35	910	24378
36	931	24237
37	950	24051
38	978	24099
39	996	23927
40	1019	23848
41	1041	23757
42	1064	23692
43	1094	23790
44	1119	23753
45	1144	23731
46	1170	23724
47	1193	23672
48	1240	24068
49	1262	23991
50	1287	23965
51	1310	23892
52	1332	23803
53	1356	23762
54	1386	23826
55	1407	23721
56	1430	23674
57	1452	23585
58	1472	23486
59	1499	23489
60	1522	23441
61	1544	23365
62	1564	23262
63	1599	23390
64	1621	23318
65	1643	23260
66	1666	23207
67	1696	23248
68	1724	23267
69	1746	23199
70	1773	23210
71	1798	23175
72	1818	23098
73	1843	23062
74	1870	23072
75	1893	23016
76	1915	22955
77	1936	22888
78	1955	22793
79	1983	22805
80	2006	22759
81	2028	22708
82	2049	22638
83	2082	22708
84	2102	22629
85	2121	22552
86	2142	22479
87	2168	22471
88	2188	22403
89	2212	22369
90	2234	22318
91	2263	22335
92	2285	22287
93	2309	22255
94	2327	22169
95	2353	22166
96	2375	22114
97	2392	22019
98	2412	21955
99	2431	21885
100	2453	21835
101	2473	21773
102	2490	21691
103	2517	21685
104	2536	21624
105	2571	21685
106	2599	21693
107	2624	21675
108	2655	21704
109	2676	21657
110	2695	21590
111	2715	21532
112	2736	21481
113	2760	21457
114	2780	21396
115	2797	21317
116	2823	21308
117	2848	21289
118	2869	21243
119	2888	21180
120	2906	21116
121	2927	21065
122	2950	21040
123	2968	20967
124	2990	20936
125	3008	20869
126	3029	20823
127	3071	20921
128	3093	20885
129	3114	20844
130	3156	20937
131	3177	20893
132	3197	20841
133	3220	20811
134	3244	20788
135	3265	20746
136	3286	20700
137	3310	20676
138	3350	20754
139	3374	20728
140	3396	20689
141	3418	20656
142	3442	20632
143	3460	20570
144	3482	20533
145	3501	20482
146	3525	20456
147	3556	20474
148	3576	20425
149	3593	20363
150	3624	20381
151	3644	20335
152	3662	20273
153	3680	20219
154	3699	20170
155	3718	20118
156	3746	20118
157	3770	20093
158	3792	20060
159	3818	20049
160	3840	20014
161	3862	19981
162	3880	19925
163	3899	19878
164	3923	19854
165	3944	19815
166	3983	19867
167	4042	20020
168	4090	20112
169	4128	20155
170	4149	20115
171	4169	20070
172	4206	20109
173	4259	20218
174	4321	20371
175	4356	20394
176	4381	20371
177	4414	20388
178	4473	20518
179	4533	20650
180	4581	20729
181	4600	20675
182	4624	20646
183	4645	20601
184	4691	20666
185	4742	20753
186	4813	20925
187	4840	20905
188	4862	20866
189	4882	20814
190	4944	20944
191	4990	21002
192	5050	21119
193	5069	21062
194	5094	21031
195	5133	21055
196	5175	21098
197	5236	21208
198	5279	21249
199	5318	21274
200	5350	21267
201	5374	21230
202	5435	21339
203	5565	21714
204	5636	21860
205	5716	22033
206	5778	22135
207	5840	22239
208	5945	22501
209	6024	22662
210	6059	22658
211	6083	22610
212	6111	22581
213	6133	22528
214	6183	22577
215	6229	22612
216	6286	22683
217	6313	22648
218	6334	22591
219	6387	22646
220	6431	22669
221	6477	22699
222	6524	22731
223	6543	22668
224	6563	22608
225	6588	22562
226	6606	22498
227	6653	22529
228	6710	22594
229	6753	22609
230	6800	22637
231	6820	22576
232	6839	22516
233	6867	22482
234	6920	22526
235	7008	22689
236	7100	22861
237	7196	23041
238	7260	23119
239	7326	23200
240	7358	23174
241	7392	23155
242	7432	23154
243	7485	23192
244	7529	23203
245	7552	23149
246	7579	23106
247	7598	23041
248	7645	23060
249	7695	23085
250	7735	23084
251	7764	23047
252	7793	23010
253	7813	22948
254	7833	22885
255	7870	22872
256	7921	22900
257	7971	22926
258	8003	22899
259	8027	22846
260	8058	22817
261	8098	22811
262	8146	22829
263	8200	22862
264	8243	22863
265	8271	22824
266	8291	22763
267	8315	22712
268	8352	22697
269	8412	22745
270	8454	22742
271	8496	22741
272	8518	22685
273	8536	22619
274	8559	22566
275	8604	22571
276	8648	22573
277	8692	22576
278	8719	22532
279	8744	22486
280	8782	22471
281	8801	22408
282	8823	22355
283	8845	22299
284	8868	22248
285	8891	22198
286	8913	22144
287	8933	22085
288	8950	22019
289	8979	21983
290	9012	21957
291	9032	21900
292	9053	21846
293	9075	21794
294	9099	21745
295	9116	21683
296	9134	21620
297	9153	21562
298	9183	21530
299	9205	21478
300	9225	21424
301	9250	21379
302	9273	21333
303	9309	21313
304	9334	21269
305	9356	21221
306	9388	21193
307	9411	21144
308	9433	21095
309	9456	21047
310	9479	21001
311	9513	20979
312	9549	20960
313	9572	20912
314	9590	20856
315	9609	20800
316	9628	20744
317	9645	20685
318	9668	20640
319	9686	20583
320	9704	20527
321	9726	20480
322	9762	20461
323	9786	20419
324	9809	20374
325	9832	20327
326	9857	20287
327	9874	20231
328	9894	20178
329	9914	20128
330	9933	20076
331	9956	20033
332	9973	19977
333	9991	19922
334	10014	19879
335	10040	19841
336	10060	19793
337	10079	19742
338	10106	19706
339	10124	19652
340	10147	19610
341	10163	19553
342	10183	19506
343	10203	19457
344	10224	19411
345	10247	19369
346	10264	19315
347	10279	19258
348	10298	19210
349	10313	19154
350	10334	19108
351	10356	19066
352	10380	19026
353	10399	18978
354	10416	18925
355	10441	18889
356	10458	18837
357	10486	18805
358	10516	18776
359	10551	18758
360	10571	18713
361	10598	18678
362	10615	18627
363	10642	18594
364	10661	18547
365	10679	18499
366	10703	18462
367	10726	18421
368	10744	18372
369	10765	18330
370	10784	18283
371	10801	18235
372	10817	18183
373	10841	18146
374	10858	18098
375	10880	18057
376	10899	18012
377	10923	17975
378	10953	17947
379	10971	17900
380	10998	17868
381	11025	17837
382	11045	17793
383	11069	17757
384	11086	17710
385	11116	17683
386	11135	17638
387	11159	17602
388	11177	17555
389	11199	17517
390	11225	17484
391	11242	17436
392	11265	17399
393	11283	17354
394	11305	17316
395	11326	17276
396	11347	17236
397	11367	17194
398	11389	17156
399	11413	17119
400	11435	17081
401	11454	17039
402	11481	17008
403	11508	16978
404	11531	16941
405	11550	16899
406	11571	16860
407	11590	16817
408	11613	16781
409	11633	16741
410	11653	16700
411	11671	16657
412	11687	16611
413	11715	16582
414	11736	16544
415	11756	16504
416	11775	16462
417	11797	16426
418	11820	16390
419	11843	16355
420	11861	16313
421	11878	16269
422	11894	16225
423	11922	16196
424	11944	16160
425	11975	16136
426	11999	16102
427	12019	16063
428	12039	16024
429	12057	15983
430	12078	15945
431	12101	15911
432	12125	15877
433	12149	15845
434	12167	15804
435	12183	15759
436	12211	15732
437	12232	15695
438	12249	15654
439	12268	15614
440	12286	15574
441	12309	15540
442	12333	15506
443	12362	15481
444	12392	15456
445	12415	15421
446	12434	15383
447	12464	15357
448	12485	15322
449	12507	15286
450	12531	15253
451	12550	15216
452	12569	15178
453	12597	15150
454	12623	15120
455	12642	15082
456	12662	15045
457	12699	15028
458	12726	14999
459	12746	14963
460	12766	14926
461	12785	14888
462	12808	14855
463	12831	14823
464	12855	14791
465	12878	14757
466	12899	14722
467	12920	14687
468	12943	14654
469	12972	14629
470	12996	14596
471	13020	14564
472	13040	14529
473	13063	14496
474	13085	14463
475	13110	14432
476	13130	14397
477	13148	14359
478	13169	14324
479	13194	14293
480	13221	14265
481	13240	14229
482	13260	14193
483	13283	14162
484	13309	14132
485	13328	14096
486	13346	14059
487	13368	14025
488	13393	13996
489	13411	13958
490	13435	13927
491	13468	13906
492	13497	13880
493	13517	13845
494	13539	13813
495	13558	13777
496	13585	13749
497	13605	13714
498	13622	13677
499	13638	13638
500	13659	13604
501	13684	13575
502	13705	13542
503	13728	13510
504	13746	13474
505	13765	13439
506	13794	13414
507	13819	13384
508	13838	13349
509	13857	13314
510	13884	13286
511	13904	13252
512	13925	13219
513	13950	13190
514	13977	13163
515	13997	13129
516	14018	13096
517	14037	13061
518	14063	13033
519	14095	13010
520	14133	12994
521	14163	12969
522	14188	12940
523	14221	12919
524	14251	12894
525	14277	12866
526	14298	12833
527	14315	12797
528	14335	12763
529	14363	12737
530	14387	12707
531	14412	12678
532	14433	12646
533	14454	12614
534	14480	12585
535	14499	12552
536	14522	12521
537	14541	12487
538	14569	12461
539	14590	12428
540	14607	12393
541	14627	12360
542	14652	12332
543	14678	12303
544	14698	12271
545	14719	12239
546	14738	12205
547	14765	12178
548	14782	12143
549	14804	12112
550	14824	12080
551	14845	12048
552	14875	12024
553	14909	12002
554	14933	11973
555	14959	11946
556	14982	11915
557	15001	11882
558	15021	11850
559	15042	11819
560	15067	11790
561	15093	11762
562	15109	11728
563	15134	11699
564	15154	11667
565	15181	11640
566	15200	11608
567	15221	11576
568	15242	11545
569	15269	11518
570	15289	11487
571	15308	11454
572	15326	11420
573	15350	11392
574	15382	11369
575	15403	11338
576	15428	11310
577	15455	11284
578	15478	11254
579	15495	11220
580	15512	11187
581	15540	11161
582	15560	11129
583	15587	11103
584	15608	11072
585	15636	11046
586	15652	11012
587	15678	10985
588	15698	10954
589	15719	10924
590	15736	10890
591	15757	10859
592	15783	10833
593	15804	10802
594	15823	10770
595	15844	10740
596	15881	10720
597	15901	10689
598	15923	10660
599	15940	10627
600	15967	10600
601	15988	10570
602	16009	10540
603	16030	10510
604	16077	10496
605	16095	10464
606	16120	10437
607	16139	10405
608	16167	10380
609	16186	10348
610	16204	10316
611	16224	10286
612	16244	10255
613	16273	10230
614	16291	10198
615	16315	10170
616	16336	10141
617	16371	10119
618	16397	10092
619	16416	10061
620	16438	10032
621	16463	10004
622	16484	9975
623	16508	9947
624	16528	9917
625	16552	9889
626	16581	9864
627	16610	9839
628	16639	9814
629	16663	9786
630	16685	9757
631	16701	9724
632	16717	9692
633	16733	9660
634	16750	9628
635	16766	9596
636	16782	9563
637	16799	9532
638	16815	9500
639	16835	9469
640	16849	9436
641	16861	9402
642	16877	9370
643	16892	9338
644	16909	9306
645	16923	9274
646	16939	9242
647	16957	9211
648	16973	9179
649	16990	9148
650	17007	9117
651	17022	9085
652	17039	9054
653	17054	9022
654	17071	8991
655	17087	8960
656	17104	8929
657	17121	8899
658	17143	8870
659	17163	8841
660	17180	8811
661	17195	8779
662	17211	8748
663	17224	8716
664	17239	8684
665	17254	8653
666	17270	8622
667	17286	8591
668	17306	8562
669	17394	8567
670	17453	8557
671	17518	8550
672	17602	8552
673	17670	8547
674	17735	8539
675	17795	8529
676	17839	8511
677	17879	8491
678	17898	8461
679	17936	8440
680	17960	8413
681	17977	8382
682	17995	8352
683	18011	8321
684	18036	8294
685	18059	8266
686	18078	8236
687	18096	8206
688	18120	8179
689	18137	8148
690	18161	8121
691	18176	8090
692	18197	8061
693	18219	8033
694	18236	8003
695	18258	7974
696	18275	7944
697	18295	7915
698	18312	7885
699	18331	7856
700	18362	7832
701	18393	7808
702	18410	7778
703	18430	7749
704	18455	7722
705	18474	7693
706	18492	7663
707	18510	7634
708	18530	7605
709	18549	7576
710	18565	7546
711	18585	7517
712	18604	7488
713	18624	7460
714	18653	7435
715	18671	7405
716	18687	7376
717	18705	7346
718	18725	7318
719	18769	7299
720	18817	7281
721	18845	7256
722	18871	7230
723	18891	7201
724	18909	7172
725	18930	7144
726	18947	7114
727	18966	7086
728	18988	7058
729	19006	7029
730	19030	7003
731	19051	6975
732	19074	6947
733	19097	6920
734	19115	6891
735	19137	6864
736	19156	6836
737	19174	6807
738	19193	6778
739	19210	6749
740	19231	6721
741	19250	6693
742	19271	6665
743	19289	6637
744	19331	6616
745	19354	6589
